"iata","lat","lon","total_pax","airline_count","operating_airlines"
"OKA",26.1958,127.6458,507000,1,"Loyalty"
"ORD",41.9742,-87.9073,3711000,2,"North Airways | United"
"OSL",60.1975,11.1004,1300000,1,"TransEuropean"
"PEK",40.0799,116.6031,3144000,2,"Hainan Airlines | JEM AIR-SHUTTLE"
"PHS",16.7826,100.2797,174000,1,"Siam Royalty"
"PHX",33.4342,-112.0116,1632000,2,"North Airways | United"
"POS",10.5954,-61.3372,227000,1,"Caribbean Airlines"
"PPT",-17.5539,-149.6074,421000,1,"Air Pacific"
"PUS",35.1795,128.9382,4e+05,1,"Korean Air"
"PVG",31.1443,121.8083,3002000,3,"Air Pacific | Hainan Airlines | JEM AIR"
"RUH",24.9576,46.6988,2850000,3,"Rafir | flyadeal | Loyalty"
"SCL",-33.393,-70.7858,836000,2,"LATAM | ENTACH Chilean Air"
"SEA",47.4502,-122.3088,2253000,3,"North Airways | United | Delta"
"SFO",37.6213,-122.379,2300000,2,"North Airways | United"
"SGN",10.8188,106.652,378000,1,"Loyalty"
"SHA",31.1979,121.3363,1e+06,1,"Hainan Airlines"
"SIN",1.3644,103.9915,3099000,4,"Elysian | Canadair | North Airways | Imperial Airlines"
"SJU",18.4394,-66.0018,788000,1,"Caribbean Airlines"
"SNN",52.702,-8.9248,455000,1,"JEM AIR-SHUTTLE"
"STN",51.886,0.2389,2489000,2,"Britannia | JEM AIR-SHUTTLE"
"STT",18.3373,-64.9733,328000,1,"Caribbean Airlines"
"SVO",55.9726,37.4146,308000,1,"Aeroros Airlines"
"SYD",-33.9399,151.1753,2866000,5,"Elysian | North Airways | Air Pacific | Australia Pacific | JEM AIR"
"TLV",32.0114,34.8867,3e+05,1,"Rafir"
"TPA",27.9772,-82.5311,1e+06,1,"JEM AIR-SHUTTLE"
"VIE",48.1103,16.5697,333000,1,"Eurosky"
"XMN",24.5383,118.1277,333000,1,"Jade Air"
"YUL",45.4706,-73.7408,315000,1,"Canadian Airlines"
"YVR",49.1967,-123.1815,261000,1,"flyAtheon"
"YYZ",43.6777,-79.6248,995000,2,"Canadair | Canadian Airlines"
"ZRH",47.4647,8.5492,1e+06,1,"Elysian"
